codigo_escola,nome_escola,dependencia_administrativa,localizacao,municipio,uf
43000479,E E IND ENS FUN TUPE PAN,Estadual,1,Porto Alegre,RS
43001254,E E IND ENS FUN PINDO POTY,Estadual,1,Porto Alegre,RS
43005047,E E IND ENS FUN KA AGUY MIRI,Estadual,1,Porto Alegre,RS
43048200,EMEF PORTO NOVO,Municipal,1,Porto Alegre,RS
43104932,COLEGIO DE APLICACAO UFRGS,Federal,1,Porto Alegre,RS
43105009,COLEGIO MILITAR DE PORTO ALEGRE,Federal,1,Porto Alegre,RS
43105246,EMEM EMILIO MEYER,Municipal,1,Porto Alegre,RS
43105386,INST ESTADUAL PROFESSORA GEMA ANGELINA BELIA,Estadual,1,Porto Alegre,RS
43105394,ESC EST ENS FUN NACOES UNIDAS,Estadual,1,Porto Alegre,RS
43105440,EMEF AFONSO GUERREIRO LIMA,Municipal,1,Porto Alegre,RS
43105459,EMEF AMERICA,Municipal,1,Porto Alegre,RS
43105467,EMEF ARAMY SILVA,Municipal,1,Porto Alegre,RS
43105475,EMEF DECIO MARTINS COSTA,Municipal,1,Porto Alegre,RS
43105483,EMEF DOLORES ALCARAZ CALDAS,Municipal,1,Porto Alegre,RS
43105491,EMEF JOSE LOUREIRO DA SILVA,Municipal,1,Porto Alegre,RS
43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,Municipal,1,Porto Alegre,RS
43105513,EMEF NOSSA SENHORA DE FATIMA,Municipal,1,Porto Alegre,RS
43105521,EMEF PEPITA DE LEAO,Municipal,1,Porto Alegre,RS
43105530,EMEF PRESIDENTE VARGAS,Municipal,1,Porto Alegre,RS
43105548,EMEF HEITOR VILLA LOBOS,Municipal,1,Porto Alegre,RS
43105564,ESC EST ENS FUN PROFESSORA LUIZA TEIXEIRA LAUFFER,Estadual,1,Porto Alegre,RS
43105580,INST ESTADUAL DOM DIOGO DE SOUZA,Estadual,1,Porto Alegre,RS
43105742,ESC EST ENS FUN PROFESSORA MARINA MARTINS DE SOUZA,Estadual,1,Porto Alegre,RS
43105750,ESC EST ENS FUN ACORIANOS,Estadual,1,Porto Alegre,RS
43105769,ESC EST ENS MED AGRONOMO PEDRO PEREIRA,Estadual,1,Porto Alegre,RS
43105785,ESC EST ENS MED ALBERTO TORRES,Estadual,1,Porto Alegre,RS
43105793,ESC EST ENS FUN ALCEU WAMOSY,Estadual,1,Porto Alegre,RS
43105807,ESC EST ED BAS ALMIRANTE BACELAR,Estadual,1,Porto Alegre,RS
43105815,ESC EST ENS MED ALMIRANTE BARROSO,Estadual,1,Porto Alegre,RS
43105823,ESC EST ENS FUN ALVARENGA PEIXOTO,Estadual,1,Porto Alegre,RS
43105831,ESC EST ENS FUN AMERICA,Estadual,1,Porto Alegre,RS
43105840,ESC EST ENS FUN ANA NERI,Estadual,1,Porto Alegre,RS
43105858,ESC EST ENS MED ANNE FRANK,Estadual,1,Porto Alegre,RS
43105866,ESC EST ENS MED ANTAO DE FARIA,Estadual,1,Porto Alegre,RS
43105874,ESC EST ED BAS APELES PORTO ALEGRE,Estadual,1,Porto Alegre,RS
43105882,ESC EST ENS FUN ARAGUAIA,Estadual,1,Porto Alegre,RS
43105890,ESC EST ENS FUN ARAUJO PORTO ALEGRE,Estadual,1,Porto Alegre,RS
43105904,ESC EST ENS FUN ARAUJO VIANA,Estadual,1,Porto Alegre,RS
43105920,ESC EST ENS FUN BAEPENDI,Estadual,1,Porto Alegre,RS
43105939,ESC EST ENS FUN BAHIA,Estadual,1,Porto Alegre,RS
43105947,ESC EST ENS FUN PADRE BALDUINO RAMBO,Estadual,1,Porto Alegre,RS
43105963,ESC EST ENS FUN MARGARIDA COELHO DE SOUZA,Estadual,1,Porto Alegre,RS
43105971,ESC EST ENS FUN PROFESSORA BRANCA DIVA PEREIRA DE SOUZA,Estadual,1,Porto Alegre,RS
43105980,ESC EST ENS FUN BRASILIA,Estadual,1,Porto Alegre,RS
43105998,ESC EST ENS FUN BRIGADEIRO FRANCISCO DE LIMA E SILVA,Estadual,1,Porto Alegre,RS
43106005,ESC EST ENS FUN BRIGADEIRO SILVA PAIS,Estadual,1,Porto Alegre,RS
43106013,ESC EST ENS FUN CAMILA FURTADO ALVES,Estadual,1,Porto Alegre,RS
43106021,ESC EST ENS FUN CANDIDO PORTINARI,Estadual,1,Porto Alegre,RS
43106030,ESC EST ENS FUN DR CARLOS BARBOSA GONCALVES,Estadual,1,Porto Alegre,RS
43106048,COL ESTADUAL CARLOS FAGUNDES DE MELLO,Estadual,1,Porto Alegre,RS
43106056,ESC EST ENS MED CEARA,Estadual,1,Porto Alegre,RS
43106072,ESC EST ENS FUN PRUDENTE DE MORAIS,Estadual,1,Porto Alegre,RS
43106080,ESC EST ENS FUN CLOTILDE CACHAPUZ DE MEDEIROS,Estadual,1,Porto Alegre,RS
43106099,ESC EST ENS FUN COELHO NETO,Estadual,1,Porto Alegre,RS
43106102,ESC EST ENS FUN CORONEL TITO MARQUES FERNANDES,Estadual,1,Porto Alegre,RS
43106110,ESC EST ENS FUN GENERAL NETO,Estadual,1,Porto Alegre,RS
