ano,codigo_escola,taxa_aprovacao,taxa_reprovacao,taxa_abandono,media_alunos_fund,media_alunos_ai,media_alunos_af,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_DOC_FUND,QT_DOC_FUND_AI,QT_DOC_FUND_AF,QT_TUR_FUND,QT_TUR_FUND_AI,QT_TUR_FUND_AF,IN_ESGOTO_REDE_PUBLICA,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_INTERNET,IN_BANDA_LARGA,IN_ACESSIBILIDADE_RAMPAS
2018,43000479,91.7,8.3,0.0,6.0,,,12,12,0,2,0,2,2,0,2,1,0,0,0,0.0,0
2018,43001254,100.0,0.0,0.0,1.5,1.0,,3,3,0,2,1,1,2,1,1,0,0,0,0,0.0,0
2018,43005047,100.0,0.0,0.0,3.0,,,6,6,0,2,0,2,2,0,2,0,0,0,0,0.0,0
2018,43048200,78.0,22.0,0.0,26.9,26.0,29.0,350,234,116,23,15,8,13,9,4,1,1,1,1,1.0,0
2018,43104932,88.5,11.5,0.0,24.7,20.0,28.0,296,100,196,50,11,39,12,5,7,1,1,1,1,1.0,0
2018,43105009,96.2,3.8,0.0,26.4,,26.4,449,0,449,53,0,53,17,0,17,1,1,1,1,1.0,0
2018,43105246,91.9,8.1,0.0,21.3,21.3,,128,128,0,10,10,0,6,6,0,1,1,1,1,1.0,0
2018,43105386,74.6,25.4,0.0,23.7,27.8,21.1,308,139,169,17,4,13,13,5,8,1,0,0,1,1.0,0
2018,43105394,70.5,26.3,3.2,23.6,26.7,21.3,165,80,85,8,3,5,7,3,4,1,0,0,1,1.0,0
2018,43105440,81.9,18.1,0.0,25.6,24.5,27.3,897,515,382,47,30,26,35,21,14,1,1,1,1,1.0,0
2018,43105459,73.0,27.0,0.0,26.3,27.7,24.8,500,277,223,26,15,15,19,10,9,1,1,1,1,1.0,0
2018,43105467,84.3,15.6,0.1,22.8,21.8,24.4,639,371,268,44,28,21,28,17,11,1,1,1,1,1.0,0
2018,43105475,86.1,13.9,0.0,28.1,27.8,28.5,814,444,370,39,23,20,29,16,13,1,1,1,1,1.0,0
2018,43105483,74.3,25.7,0.0,25.8,25.6,26.1,1006,615,391,54,33,27,39,24,15,1,1,1,1,1.0,0
