variavel_consolidada,importancia,importancia_percentual
Período,0.7595444829697579,75.95
Média de alunos por turma,0.07102181480819342,7.1
Quantidade de docentes,0.06946993880969685,6.95
Quantidade de matrículas,0.046260084116954314,4.63
Quantidade de turmas,0.028131198439440792,2.81
Rampas de acessibilidade,0.009123362524132848,0.91
Biblioteca,0.004873115376828847,0.49
Laboratório de informática,0.004446239184537837,0.44
Banda larga,0.004319005479332513,0.43
Dependência administrativa,0.001751195297535053,0.18
Internet,0.0007634828214644466,0.08
Esgoto em rede pública,0.0002960801721253775,0.03
