ano,codigo_escola,nome_escola,dependencia_administrativa,taxa_aprovacao_real,taxa_aprovacao_prevista,erro_absoluto_pp
2023,43000479,E E IND ENS FUN TUPE PAN,Estadual,70.6,79.42470634240921,8.824706342409215
2023,43001254,E E IND ENS FUN PINDO POTY,Estadual,62.5,79.42470634240921,16.92470634240921
2023,43005047,E E IND ENS FUN KA AGUY MIRI,Estadual,57.1,79.43462300907586,22.334623009075862
2023,43048200,EMEF PORTO NOVO,Municipal,90.6,92.04945384341777,1.4494538434177713
2023,43104932,COLEGIO DE APLICACAO UFRGS,Federal,95.9,92.89536705088838,3.004632949111624
2023,43105009,COLEGIO MILITAR DE PORTO ALEGRE,Federal,97.1,91.49301350895773,5.606986491042264
2023,43105246,EMEM EMILIO MEYER,Municipal,84.9,88.81143530467484,3.911435304674839
2023,43105386,INST ESTADUAL PROFESSORA GEMA ANGELINA BELIA,Estadual,79.9,90.02914929615565,10.129149296155646
2023,43105394,ESC EST ENS FUN NACOES UNIDAS,Estadual,76.6,90.68602618826567,14.086026188265677
2023,43105440,EMEF AFONSO GUERREIRO LIMA,Municipal,92.0,90.32045212381412,1.6795478761858789
2023,43105459,EMEF AMERICA,Municipal,88.3,89.74485956604227,1.4448595660422683
2023,43105467,EMEF ARAMY SILVA,Municipal,93.8,91.09559215818805,2.7044078418119426
2023,43105475,EMEF DECIO MARTINS COSTA,Municipal,92.1,89.45546632813351,2.6445336718664834
2023,43105483,EMEF DOLORES ALCARAZ CALDAS,Municipal,87.4,87.62700074411984,0.2270007441198345
2023,43105491,EMEF JOSE LOUREIRO DA SILVA,Municipal,96.0,91.47792172559787,4.5220782744021335
2023,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,Municipal,94.5,88.60801736881781,5.891982631182188
2023,43105513,EMEF NOSSA SENHORA DE FATIMA,Municipal,88.1,91.86888215738686,3.7688821573868694
2023,43105521,EMEF PEPITA DE LEAO,Municipal,95.7,89.39083536939837,6.309164630601629
2023,43105530,EMEF PRESIDENTE VARGAS,Municipal,92.2,90.73049145170201,1.4695085482979948
2023,43105548,EMEF HEITOR VILLA LOBOS,Municipal,88.2,88.22713663332577,0.027136633325767434
